Age,M,F
0-4,68659137,65227932
5-9,42609607,40461591
10-14,49701569,47463833
15-19,40119170,38024532
20-24,29280720,26614297
25-29,26751057,23575332
30-34,26032763,23434113
35-39,22627337,20688683
40-44,19535632,18417909
45-49,16519993,16143228
50-54,14382476,14451043
55-59,11345611,12099328
60-64,8835979,10310093
65-69,5720358,7250575
70-74,3366872,4865346
75-79,1575698,2665500
80-84,572260,1163595
85-89,130861,331938
90-94,16611,48390
95-99,1294,3520
100+,98,134
