Age,M,F
0-4,70377322,66712937
5-9,62868089,59655519
10-14,42805686,40732690
15-19,48164025,46266488
20-24,37012617,34817044
25-29,27788363,25252620
30-34,26191010,23095138
35-39,24954971,22656101
40-44,21383107,19721204
45-49,18283171,17519354
50-54,15104360,15136340
55-59,12648487,13123019
60-64,9449418,10790812
65-69,6606779,8471815
70-74,3706623,5315773
75-79,1804735,3103648
80-84,640473,1307754
85-89,146935,374711
90-94,17735,58826
95-99,761,3286
100+,13,98
