Age,M,F
0-4,40527238,37457296
5-9,30161374,26824457
10-14,29074407,25224094
15-19,27573931,24581126
20-24,24057780,21806611
25-29,21410437,19942435
30-34,18888060,17948336
35-39,17513823,16428470
40-44,15673174,15201552
45-49,14104685,13648329
50-54,11536623,11016006
55-59,9938697,9859758
60-64,7913962,8297283
65-69,5587597,6592778
70-74,3131822,4208956
75-79,1853646,2732611
80-84,843978,1454244
85-89,269873,571718
90-94,49192,121900
95-99,4041,11518
100+,105,422
