Age,M,F
0-4,68682035,64981821
5-9,66540701,63072141
10-14,50383258,47928904
15-19,47755117,45641926
20-24,44252750,42677384
25-29,31961469,29531106
30-34,26332371,23647560
35-39,25578658,22810002
40-44,23175856,21153978
45-49,19613660,18449302
50-54,16361356,16111783
55-59,13276830,13803600
60-64,10310959,11330166
65-69,7103628,8974081
70-74,4299469,6168252
75-79,2021067,3394221
80-84,736529,1531109
85-89,175437,440877
90-94,21116,72583
95-99,663,3806
100+,1,39
