Age,M,F
0-4,65436848,62196853
5-9,43573378,41361803
10-14,48877870,46745242
15-19,37534211,35167097
20-24,28231500,25539422
25-29,26694277,23422986
30-34,25534237,23088790
35-39,22074650,20246269
40-44,19151246,18155885
45-49,16213375,15924004
50-54,14083552,14103038
55-59,11188209,12037825
60-64,8709546,10144547
65-69,5542288,6983986
70-74,3295860,4766480
75-79,1553893,2607673
80-84,561864,1147492
85-89,124765,312902
90-94,16514,47915
95-99,689,3167
100+,1,52
