Age,M,F
0-4,48583314,46163758
5-9,33218762,30053257
10-14,28811313,25240738
15-19,28622258,25224023
20-24,25656141,23010478
25-29,22531601,20708065
30-34,19678343,18546221
35-39,18095116,17203381
40-44,15954356,15255563
45-49,14314272,14133321
50-54,11997652,11832802
55-59,9953205,9968895
60-64,7757239,8266309
65-69,5466064,6404190
70-74,3328184,4488477
75-79,1630480,2497683
80-84,766542,1275066
85-89,241381,492719
90-94,46738,121203
95-99,4049,13243
100+,106,619
