year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
adult,0.688041798527537,0.6897548442489724,0.6895149578996217,0.7105393940579677,0.7133770596234823,0.7195883675300864,0.7196363447929745,0.7275071876017413,0.7331902802082194,0.7401404770099817
child,0.17152946217133172,0.17138069934636173,0.17320791740616374,0.16508155983687984,0.16384677634647994,0.16376730392424013,0.16417588390666457,0.1624713524316112,0.1622638357265079,0.1622807063933833
elder,0.14245685531552698,0.14162734461633504,0.13493946850170076,0.12401925231451385,0.12051875689613442,0.11339319486627898,0.11216546173858699,0.10784133901824763,0.10375237004644426,0.10315269356869661
male,0.5077,0.5079,0.5082,0.5080,0.5096,0.5092,0.5095,0.5104,0.5115,0.5103
female,0.4923,0.4921,0.4918,0.4920,0.4904,0.4908,0.4905,0.4896,0.4885,0.4897

