Age,M,F
0-4,58654923,55378079
5-9,69076107,65379778
10-14,65245580,62009096
15-19,41383284,39507763
20-24,48343202,46507064
25-29,38886353,37132127
30-34,28244084,25862504
35-39,25666997,22798603
40-44,24729012,22454832
45-49,21085118,19551150
50-54,17647638,17063178
55-59,14187650,14514127
60-64,11339504,12341299
65-69,7703188,9355850
70-74,4818988,6868684
75-79,2346769,3925956
80-84,871967,1816406
85-89,200825,528515
90-94,25313,87945
95-99,1016,5818
100+,1,73
