Age,M,F
0-4,53741755,51123513
5-9,49376998,46888582
10-14,45627675,43635819
15-19,33074678,30339886
20-24,27430373,24431623
25-29,26812052,23716745
30-34,24554558,22211022
35-39,21225210,19663059
40-44,18353481,17552616
45-49,15804842,15573637
50-54,13463287,13516670
55-59,10940082,11895744
60-64,8305526,9554170
65-69,5374413,6693475
70-74,3156574,4501303
75-79,1541245,2541040
80-84,562064,1135972
85-89,120514,284688
90-94,18841,49428
95-99,939,3990
100+,8,158
