Age,M,F
0-4,46138778,43874822
5-9,50133301,47787294
10-14,38330478,35742601
15-19,28924607,26081265
20-24,27509496,24041877
25-29,26379581,23736201
30-34,22870081,20874358
35-39,20036735,18842593
40-44,17278628,16697401
45-49,15464461,15046664
50-54,12834472,13151249
55-59,10718087,11525336
60-64,7694184,8601336
65-69,5325308,6582243
70-74,3109749,4295480
75-79,1526962,2498083
80-84,538454,1044560
85-89,143611,301449
90-94,24507,58765
95-99,1798,6254
100+,28,340
