Age,M,F
0-4,54532074,51991267
5-9,47455562,45219656
10-14,34061975,31094054
15-19,28244348,25045795
20-24,27773665,24426342
25-29,25525595,22930263
30-34,22167682,20383225
35-39,19422092,18354297
40-44,17115567,16504291
45-49,15096513,14626104
50-54,12896322,13235019
55-59,10563270,11123023
60-64,7842435,8585016
65-69,5429206,6572286
70-74,3326269,4483717
75-79,1668847,2664455
80-84,591623,1086615
85-89,183027,359653
90-94,33391,81340
95-99,2638,9138
100+,55,495
