Age,M,F
0-4,48106884,45756192
5-9,50914673,48399968
10-14,43405686,41308363
15-19,31346797,28526175
20-24,27357987,24196691
25-29,26966247,24001600
30-34,23948631,21730570
35-39,20852645,19417081
40-44,17869731,17151030
45-49,15810008,15530276
50-54,13146010,13299236
55-59,10829646,11755550
60-64,8042865,9174663
65-69,5363988,6663326
70-74,3113572,4391911
75-79,1519239,2496360
80-84,556742,1114163
85-89,125199,284258
90-94,20764,51379
95-99,1409,4863
100+,14,242
