Age,M,F
0-4,45802825,43174369
5-9,31670492,28529649
10-14,28958851,25174335
15-19,28482904,25270698
20-24,25066956,22554931
25-29,22040818,20359253
30-34,19343862,18282127
35-39,18029321,17058859
40-44,15745138,15142981
45-49,14309213,14051358
50-54,11756312,11469467
55-59,10008559,10007408
60-64,7755622,8219296
65-69,5472912,6424054
70-74,3242787,4378779
75-79,1708099,2584312
80-84,784662,1314234
85-89,248910,517174
90-94,47955,124017
95-99,4153,13103
100+,105,565
