Age,M,F
0-4,44731086,42528542
5-9,50801069,48361104
10-14,40834810,38510408
15-19,29871500,27056475
20-24,27453470,24095646
25-29,26796116,24009364
30-34,23359771,21265509
35-39,20356778,19056825
40-44,17513459,16866743
45-49,15693735,15354548
50-54,12905943,13152136
55-59,10765496,11644063
60-64,7821025,8836871
65-69,5334281,6620009
70-74,3079249,4301279
75-79,1505994,2471107
80-84,542862,1073381
85-89,132083,288222
90-94,22086,53388
95-99,1554,5387
100+,21,283
