Age,M,F
0-4,55520084,52992819
5-9,42507310,39963209
10-14,30746048,27706530
15-19,28280392,24691373
20-24,27772220,24723339
25-29,24315094,21965267
30-34,21310318,19781175
35-39,18612791,17686006
40-44,17102588,16340678
45-49,14603130,14319299
50-54,12827767,13047388
55-59,10085963,10403155
60-64,7951235,8651343
65-69,5426965,6450188
70-74,3329828,4466056
75-79,1637310,2582149
80-84,657594,1154719
85-89,203988,391872
90-94,38354,95440
95-99,3286,11245
100+,80,604
