Age,M,F
0-4,70578990,66822732
5-9,66313012,62877334
10-14,44971413,42788698
15-19,49162998,47052435
20-24,42052055,40364555
25-29,30228126,27703142
30-34,26164056,23329035
35-39,25629688,22995000
40-44,22518158,20619890
45-49,19185465,18152172
50-54,15832140,15675254
55-59,13166723,13689062
60-64,9943229,11064913
65-69,6913575,8789999
70-74,4080946,5850777
75-79,1952934,3299794
80-84,698504,1439967
85-89,164610,412622
90-94,20157,68589
95-99,647,3488
100+,3,47
