地区,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
北京市,0.11897810218978103,0.1208151382823872,0.1208548268238762,0.10719754977029097,0.10390625,0.10485133020344288,0.10949464012251149,0.10904872389791181,0.10134600158353128,0.1016260162601626
天津市,0.12535816618911175,0.1295518207282913,0.13243626062322947,0.1043613707165109,0.10248447204968943,0.1024428684003152,0.1130030959752322,0.1088646967340591,0.10111464968152867,0.10775193798449613
河北省,0.18871595330739302,0.18552631578947368,0.19223173140223832,0.18598382749326145,0.18843537414965986,0.1851342050929112,0.1797752808988764,0.184452296819788,0.18253400143163925,0.18601297764960348
山西省,0.1586303284416492,0.15416958654519974,0.1591549295774648,0.1575091575091575,0.15390279823269512,0.1562962962962963,0.15610859728506787,0.1533788914198937,0.15075757575757576,0.1486590038314176
内蒙古自治区,0.1338181818181818,0.1331893448524118,0.13758146270818247,0.13129770992366413,0.13046815042210283,0.13297463489623368,0.13540090771558244,0.12830482115085537,0.13070378963650423,0.13569776407093295
辽宁省,0.1043115438108484,0.1043115438108484,0.10774647887323945,0.10132158590308371,0.1019202363367799,0.10179640718562874,0.10151515151515152,0.106544901065449,0.10635042081101762,0.10240496508921644
吉林省,0.11126961483594865,0.10793423874195854,0.1117519826964672,0.12091988130563798,0.1176911544227886,0.12283345892991712,0.12434061793519217,0.1262433052792655,0.11950655358519661,0.12189440993788818
黑龙江省,0.09117432530999271,0.09263311451495258,0.09772226304188097,0.09657794676806084,0.09984756097560976,0.10579150579150579,0.09968847352024922,0.10062402496099845,0.10604870384917518,0.11611374407582939
上海市,0.0992258972554539,0.09799713876967095,0.09818181818181818,0.09956395348837209,0.10022107590272661,0.09849624060150376,0.09931766489764973,0.09667440061871616,0.0933852140077821,0.10104250200481155
江苏省,0.14276048714479025,0.141400407885792,0.14675767918088736,0.1371024734982332,0.1379800853485064,0.13741007194244606,0.13435003631082063,0.13745454545454544,0.13569321533923304,0.13787991104521868
浙江省,0.13488700564971753,0.1297764960346071,0.13280116110304788,0.1343390804597701,0.130466472303207,0.13709677419354838,0.1219879518072289,0.1297134238310709,0.1288855193328279,0.12059514487079091
安徽省,0.18810601163542343,0.1800132362673726,0.18655240606460122,0.19031830238726788,0.1866576819407008,0.18609406952965238,0.1908967391304348,0.17530163236337826,0.17768301350390905,0.17862266857962694
福建省,0.18048780487804877,0.1839000693962526,0.18915159944367174,0.17016654598117306,0.16885964912280702,0.16740412979351033,0.18502519798416125,0.18292682926829268,0.17547723935389134,0.17589820359281438
江西省,0.20067340067340067,0.19865771812080538,0.2088058705803869,0.20333102012491328,0.201949860724234,0.20293911826452063,0.21619766643788607,0.21230982019363762,0.21473245309242528,0.2072829131652661
山东省,0.18872704243191893,0.17854807063440156,0.18438320209973755,0.185546875,0.1768617021276596,0.18036072144288579,0.17696044413601666,0.1692857142857143,0.16342692584593232,0.1578181818181818
河南省,0.21692111959287536,0.2129570237331623,0.22208040842373963,0.2114743162108072,0.21077441077441078,0.21312584573748306,0.20833333333333331,0.20801658604008297,0.20968858131487889,0.20941672522839072
湖北省,0.1548431105047749,0.15368852459016394,0.15865384615384617,0.15460992907801419,0.15560314061384725,0.1536796536796537,0.15827338129496402,0.15463165572574764,0.15158204562178074,0.16002949852507375
湖南省,0.19327731092436976,0.1814595660749507,0.18844386080105055,0.19960079840319359,0.1998663101604278,0.19510537049626106,0.1840277777777778,0.18181818181818182,0.18424753867791843,0.18271954674220967
广东省,0.18234442836468887,0.18489208633093523,0.18759018759018758,0.1651651651651652,0.1598793363499246,0.16916167664670662,0.16817496229260936,0.16767371601208458,0.16015325670498085,0.16478555304740405
广西壮族自治区,0.2228013029315961,0.22186287192755497,0.22903225806451613,0.21807065217391308,0.21821889870836167,0.21866485013623976,0.22244897959183677,0.21364576154376294,0.22650439486139282,0.21879286694101507
海南省,0.1930313588850174,0.1896792189679219,0.1956824512534819,0.19557458957887222,0.19501779359430604,0.19172113289760348,0.1979841612670986,0.197264218862491,0.19799139167862267,0.19047619047619047
重庆市,0.15994712491738267,0.14563758389261744,0.15271265907568654,0.17329737019554955,0.16768499660556685,0.16941015089163236,0.16424116424116422,0.15455187014820043,0.1557610241820768,0.15254237288135594
四川省,0.15629139072847684,0.1504010695187166,0.156312625250501,0.16315431679129844,0.16417910447761194,0.16346153846153846,0.15811665495432184,0.15963431786216598,0.15871886120996442,0.16201117318435754
贵州省,0.22992935131663456,0.2307193778353856,0.23544631306597671,0.2199471598414795,0.2223692918596956,0.22244355909694555,0.21305841924398625,0.22275204359673026,0.22464261402314498,0.22115384615384617
云南省,0.18347338935574228,0.1871955462769659,0.19249478804725503,0.1791907514450867,0.18024513338139872,0.18089725036179452,0.18954248366013074,0.1953857245854362,0.19130434782608693,0.18944323933477944
西藏自治区,0.2517193947730399,0.2475728155339806,0.24722222222222223,0.25051759834368525,0.2606924643584521,0.23512747875354112,0.23963457484188333,0.24059616749467705,0.23550212164073547,0.24545454545454545
陕西省,0.16354816354816354,0.16792323509252913,0.17148760330578514,0.1461086637298091,0.14537444933920707,0.14370811615785553,0.156158357771261,0.14817572598659715,0.1506338553318419,0.14892032762472077
甘肃省,0.18951612903225803,0.18724559023066487,0.19186440677966102,0.1763879128601546,0.17130620985010708,0.17567567567567569,0.17532467532467533,0.1695906432748538,0.1713235294117647,0.1635548917102315
青海省,0.20567867036011078,0.2029186935371786,0.20694444444444446,0.19957081545064376,0.19496402877697844,0.19533527696793004,0.20028818443804033,0.1972242512783053,0.20101966496722504,0.1828358208955224
宁夏回族自治区,0.20096352374397797,0.1959412176347096,0.20055904961565338,0.2011173184357542,0.20725750174459173,0.20070921985815604,0.18361375274323338,0.19138056975894813,0.20087019579405366,0.19705882352941176
