Age,M,F
0-4,50471357,48055348
5-9,49176746,46917288
10-14,36145906,33340216
15-19,28493336,25477683
20-24,27575773,24138725
25-29,25972816,23357306
30-34,22454089,20566218
35-39,19807869,18679200
40-44,17124350,16563283
45-49,15286805,14801990
50-54,12885178,13240405
55-59,10684735,11376710
60-64,7714022,8525478
65-69,5368075,6576710
70-74,3229401,4399667
75-79,1598829,2587407
80-84,557273,1052159
85-89,162282,328840
90-94,28789,69500
95-99,2194,7642
100+,41,418
