地区,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
北京市,0.1510948905109489,0.15138282387190685,0.14222549742078114,0.12710566615620217,0.11484375,0.11267605633802817,0.12480857580398164,0.11755607115235885,0.10688836104513065,0.08536585365853659
天津市,0.15830945558739257,0.17016806722689073,0.15934844192634562,0.11682242990654206,0.12111801242236024,0.10953506698187548,0.1130030959752322,0.11353032659409021,0.10270700636942676,0.11705426356589146
河北省,0.1627756160830091,0.15657894736842107,0.14944042132982224,0.14016172506738545,0.13129251700680272,0.12663454920853404,0.11797752808988764,0.1088339222614841,0.10164638511095204,0.09300648882480174
山西省,0.14255765199161424,0.1450595655220743,0.13661971830985914,0.10989010989010989,0.10972017673048601,0.10296296296296296,0.08974358974358974,0.08731966590736523,0.09166666666666666,0.08505747126436781
内蒙古自治区,0.13890909090909093,0.14686825053995678,0.1383055756698045,0.10534351145038169,0.10207214121258634,0.09838585703305151,0.1081694402420575,0.09409020217729394,0.09590100541376644,0.09329221279876639
辽宁省,0.20027816411682892,0.20027816411682892,0.1880281690140845,0.1644640234948605,0.15952732644017725,0.14970059880239522,0.14090909090909093,0.1324200913242009,0.1285386381025249,0.12179984484096197
吉林省,0.17546362339514981,0.17726947819871336,0.16726748377793801,0.13724035608308605,0.13268365817091454,0.12358703843255464,0.12207987942727959,0.10864575363427698,0.10948342328450271,0.10170807453416147
黑龙江省,0.17943107221006566,0.17797228300510576,0.1675238795003674,0.1429657794676806,0.13795731707317074,0.12200772200772202,0.12149532710280372,0.11934477379095165,0.1084053417124902,0.09399684044233808
上海市,0.19704433497536947,0.18669527896995708,0.17454545454545456,0.17369186046511628,0.16285924834193075,0.14962406015037594,0.1425322213798332,0.12993039443155452,0.12840466926070038,0.09703287890938252
江苏省,0.18064952638700946,0.1787899388171312,0.17064846416382254,0.15618374558303888,0.1507823613086771,0.14316546762589927,0.1394335511982571,0.1352727272727273,0.12684365781710916,0.12083024462564863
浙江省,0.15889830508474576,0.14924297043979814,0.14150943396226415,0.14727011494252876,0.1406705539358601,0.12976539589442815,0.125,0.11613876319758673,0.11296436694465505,0.09631949882537197
安徽省,0.16548157724628315,0.15817339510258108,0.15425181278839817,0.14655172413793102,0.13948787061994608,0.13224267211997273,0.1297554347826087,0.11497515968772178,0.11158493248045487,0.10401721664275466
福建省,0.1226480836236934,0.12213740458015268,0.11543810848400557,0.1057204923968139,0.10014619883040934,0.09513274336283187,0.09503239740820733,0.09971305595408896,0.09030837004405287,0.07559880239520958
