Age,M,F
0-4,43025228,40153826
5-9,30656487,27492880
10-14,29037692,25138736
15-19,28050141,25000017
20-24,24550830,22155395
25-29,21706598,20143566
30-34,19106235,18118653
35-39,17783937,16735775
40-44,15683187,15155973
45-49,14255978,13910494
50-54,11595429,11187153
55-59,10005203,9974424
60-64,7812065,8233787
65-69,5518129,6497805
70-74,3168560,4273579
75-79,1785968,2667051
80-84,809702,1373029
85-89,259157,545192
90-94,48778,124410
95-99,4130,12451
100+,105,502
