Age,M,F
0-4,68701734,65236404
5-9,45734097,43443888
10-14,49862370,47541146
15-19,42708431,40852454
20-24,30818374,28152306
25-29,26743523,23755957
30-34,26265460,23486837
35-39,23249875,21186138
40-44,20058595,18801504
45-49,16907902,16449214
50-54,14543673,14649958
55-59,11617939,12267456
60-64,8946217,10436907
65-69,5938470,7565307
70-74,3432129,4938899
75-79,1618582,2756797
80-84,590177,1195380
85-89,136723,348670
90-94,16629,49226
95-99,1563,3729
100+,162,213
