Age,M,F
0-4,59513440,56597220
5-9,46512086,44148022
10-14,47586159,45558171
15-19,35217801,32637098
20-24,27708360,24864897
25-29,26661418,23447301
30-34,25042235,22651392
35-39,21573378,19880189
40-44,18817611,17923342
45-49,15935169,15707804
50-54,13774688,13774495
55-59,11077173,12007673
60-64,8536822,9892067
65-69,5417183,6783660
70-74,3218899,4633506
75-79,1551821,2577877
80-84,560378,1142059
85-89,120425,294766
90-94,17134,48065
95-99,586,3277
100+,4,73
