Age,M,F
0-4,56128278,53548851
5-9,45214341,42878850
10-14,32281514,29227854
15-19,28159711,24778493
20-24,27928297,24698243
25-29,24906100,22428719
30-34,21804222,20137054
35-39,18957018,17959980
40-44,17188379,16499081
45-49,14825658,14445618
50-54,12857457,13139539
55-59,10318254,10753184
60-64,7934784,8645992
65-69,5445311,6520961
70-74,3337451,4478262
75-79,1675675,2654197
80-84,625360,1121921
85-89,196388,378765
90-94,36365,89393
95-99,3003,10322
100+,67,557
