Age,M,F
0-4,55168670,52041451
5-9,68832731,65114181
10-14,65425954,62167653
15-19,44457146,42437905
20-24,48552721,46619555
25-29,41416316,39911664
30-34,29712494,27331005
35-39,25652569,22956528
40-44,24959447,22509093
45-49,21693991,20042931
50-54,18169637,17452605
55-59,14599715,14842498
60-64,11557949,12577376
65-69,7994822,9566319
70-74,4963654,7025361
75-79,2493011,4168595
80-84,920782,1902161
85-89,215128,575483
90-94,27700,96909
95-99,1144,6517
100+,1,101
