Age,M,F
0-4,68840282,65331994
5-9,51202326,48635958
10-14,48407190,46098868
15-19,44922560,43175588
20-24,32571351,29997896
25-29,26899214,24069511
30-34,26194136,23282537
35-39,23902501,21712891
40-44,20472401,19084450
45-49,17423161,16873811
50-54,14601086,14730016
55-59,11965291,12506065
60-64,9103461,10595053
65-69,6186946,7913219
70-74,3487413,5004570
75-79,1668366,2862180
80-84,611159,1236497
85-89,139967,358792
90-94,16256,50506
95-99,1128,3442
100+,94,190
