Age,M,F
0-4,62195562,58763436
5-9,68312026,64693447
10-14,61952367,58892341
15-19,42274569,40362401
20-24,47497959,45778041
25-29,36377074,34341357
30-34,27249940,24851084
35-39,25619856,22668554
40-44,24247264,22122069
45-49,20545243,19115990
50-54,17250380,16789306
55-59,13841858,14263542
60-64,11014813,11982243
65-69,7494870,9237913
70-74,4671581,6693730
75-79,2215259,3708765
80-84,824924,1727943
85-89,190545,493338
90-94,23375,81283
95-99,881,5099
100+,1,51
