Age,M,F
0-4,69664466,66075509
5-9,56949348,54069476
10-14,45649228,43445287
15-19,46874834,45090171
20-24,34727334,32315624
25-29,27255481,24576918
30-34,26130679,23097601
35-39,24446056,22205737
40-44,20867335,19343499
45-49,17923914,17271344
50-54,14789071,14899149
55-59,12310916,12784480
60-64,9287953,10730796
65-69,6416026,8227486
70-74,3568023,5117997
75-79,1731227,2982658
80-84,627192,1273158
85-89,142443,365594
90-94,16685,53880
95-99,895,3307
100+,39,143
