Age,M,F
0-4,54467124,52013474
5-9,39812521,37031525
10-14,29737129,26678078
15-19,28330712,24632770
20-24,27327724,24436949
25-29,23792711,21555685
30-34,20963930,19553160
35-39,18357832,17507159
40-44,16843630,16010317
45-49,14513873,14311512
50-54,12752614,12899850
55-59,9914713,10123282
60-64,7920012,8595813
65-69,5445692,6429668
70-74,3342331,4492477
75-79,1597639,2505985
80-84,689372,1187290
85-89,212864,411640
90-94,40654,102517
95-99,3539,12079
100+,90,634
