Age,M,F
0-4,53071872,50707109
5-9,37370439,34404497
10-14,29221658,26001169
15-19,28337821,24691142
20-24,26838646,24003992
25-29,23290086,21194227
30-34,20650722,19337212
35-39,18118708,17319509
40-44,16558144,15693298
45-49,14469810,14333148
50-54,12588403,12637659
55-59,9825438,9940235
60-64,7839685,8468218
65-69,5495841,6448459
70-74,3371701,4535716
75-79,1572071,2446838
80-84,717462,1212841
85-89,224072,438890
90-94,43114,109899
95-99,3760,12738
100+,98,650
