Age,M,F
0-4,70987989,67253047
5-9,66169303,62761904
10-14,41882527,39853566
15-19,48987727,46973410
20-24,39525474,37600369
25-29,28768829,26249125
30-34,26210786,23199693
35-39,25423432,22969666
40-44,21916941,20143266
45-49,18669159,17776736
50-54,15431888,15364439
55-59,12969729,13473979
60-64,9646181,10876279
65-69,6764447,8643464
70-74,3880357,5562976
75-79,1878773,3206044
80-84,663984,1361426
85-89,154508,389572
90-94,18936,63788
95-99,682,3331
100+,6,64
