Age,M,F
0-4,50951194,48625599
5-9,35070457,31970400
10-14,28905012,25513689
15-19,28476261,24946187
20-24,26308425,23525511
25-29,22922184,20964375
30-34,20174897,18956836
35-39,18031411,17211210
40-44,16260137,15451127
45-49,14377762,14250868
50-54,12316034,12260318
55-59,9864326,9912041
60-64,7777094,8343937
65-69,5498090,6435278
70-74,3378503,4546786
75-79,1579777,2440702
80-84,744806,1241618
85-89,234239,467655
90-94,45139,116228
95-99,3909,13073
100+,104,649
